Test Package,Test Cases,"compare to base version
/home/user/cts/r13/android-cts/repository/results/2016.12.23_19.57.51/testResult.xml",CTS Error(/home/user/cts/r13/android-cts/repository/results/2016.12.23_19.57.51/testResult.xml)
android.app.usage.cts.NetworkUsageStatsTest,testAppDetails,same issue of base version,"junit.framework.AssertionFailedError: android.hardware.wifi is a reported system feature, however no corresponding connected network interface was found or the attempt to connect has timed out (timeout = 15000ms). Please make sure you are connected to a WiFi access point.
at junit.framework.Assert.fail(Assert.java:50)"
android.app.usage.cts.NetworkUsageStatsTest,testAppSummary,same issue of base version,"junit.framework.AssertionFailedError: android.hardware.wifi is a reported system feature, however no corresponding connected network interface was found or the attempt to connect has timed out (timeout = 15000ms). Please make sure you are connected to a WiFi access point.
at junit.framework.Assert.fail(Assert.java:50)"
android.app.usage.cts.NetworkUsageStatsTest,testDeviceSummary,same issue of base version,"junit.framework.AssertionFailedError: android.hardware.wifi is a reported system feature, however no corresponding connected network interface was found or the attempt to connect has timed out (timeout = 15000ms). Please make sure you are connected to a WiFi access point.
at junit.framework.Assert.fail(Assert.java:50)"
android.app.usage.cts.NetworkUsageStatsTest,testUidDetails,same issue of base version,"junit.framework.AssertionFailedError: android.hardware.wifi is a reported system feature, however no corresponding connected network interface was found or the attempt to connect has timed out (timeout = 15000ms). Please make sure you are connected to a WiFi access point.
at junit.framework.Assert.fail(Assert.java:50)"
android.app.usage.cts.NetworkUsageStatsTest,testUserSummary,same issue of base version,"junit.framework.AssertionFailedError: android.hardware.wifi is a reported system feature, however no corresponding connected network interface was found or the attempt to connect has timed out (timeout = 15000ms). Please make sure you are connected to a WiFi access point.
at junit.framework.Assert.fail(Assert.java:50)"
android.bluetooth.cts.BluetoothLeScanTest,testOpportunisticScan,same issue of base version,"junit.framework.AssertionFailedError: opportunistic scan shouldn't have scan results
at junit.framework.Assert.fail(Assert.java:50)"
android.cts.security.SELinuxHostTest,testAllEnforcing,same issue of base version,"junit.framework.AssertionFailedError: The following SELinux domains were found to be in permissive mode:
su"
android.cts.security.SELinuxHostTest,testAospPropertyContexts,same issue of base version,"junit.framework.ComparisonFailure: Lines do not match: expected:<se[curity.perf_harden]    u:object_r:shell...> but was:<se[rvice.adb.root    ]    u:object_r:shell...>
	at junit.framework.Assert.assertEquals(Assert.java:85)"
android.cts.security.SELinuxHostTest,testWatchdogdDomain,same issue of base version,"junit.framework.ComparisonFailure: Expected executable ""/sbin/watchdogd"" in SELinux domain ""u:r:watchdogd:s0""Found: ""label: u:r:watchdogd:s0 user: root pid: 3842 ppid: 1 cmd: /system/bin/watchdog"" expected:</s[bin/watchdogd]> but was:</s[ystem/bin/watchdog]>
	at junit.framework.Assert.assertEquals(Assert.java:85)"
android.cts.security.SELinuxNeverallowRulesTest,testNeverallowRules103,same issue of base version,"junit.framework.AssertionFailedError: The following errors were encountered when validating the SELinuxneverallow rule:
neverallow { domain  } su_exec:file { execute execute_no_trans };"
